schoolID,game_sport_year_ctl_id,org_id,schoolName,schoolStatsURL,rdStatsURL,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-100,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68,1966-67,1965-66,1964-65,1963-64,1962-63,1961-62,1960-61,1959-60,1958-59,1957-58,1956-57,1955-56,1954-55,1953-54,1952-53,1951-52,1950-51,1949-50,1948-49,1947-48,1946-47,1945-46,1944-45,1943-44,1942-43,1941-42,1940-41,1939-40,1938-39,1937-38,1936-37,1935-36,1934-35,1933-34,1932-33,1931-32,1930-31,1929-30,1928-29,1927-28,1926-27,1925-26,1924-25,1923-24,1922-23,1921-22,1920-21,1919-20,1918-19,1917-18,1916-17,1915-16,1914-15,1913-14,1912-13,1911-12,1910-11,1909-10,1908-09,1907-08,1906-07,1905-06,1904-05,1903-04,1902-03,1901-02,1900-01,1899-100,1898-99,1897-98,1896-97,1895-96,1894-95,1893-94,1892-93,1891-92,1890-91,1889-90,1888-89,1887-88,1886-87,1885-86,1884-85,1883-84,1882-83,1881-82,1880-81,1879-80,1878-79,1877-78,1876-77,1875-76,1874-75,1873-74,1872-73,1871-72,1870-71,1869-70
478102,14900,721,Air Force,https://stats.ncaa.org/team/721/14900,https://stats.ncaa.org/teams/478102,478102,449896,113638,66692,19726,83664,62793,16057,137884,137404,405541,254970,404857,254297,136733,334666,136032,127647,360584,218725,218057,368497,135371,217399,134718,253656,176773,176122,367845,367192,366547,134072,133431,334030,365909,216762,253018,132799,252397,365288,132182,364672,175494,297369,131574,216148,364064,251787,130977,296775,174899,130398,404248,296194,251201,295625,215554,295062,174335,215004,214453,294512,129835,129290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477990,14900,5,Akron,https://stats.ncaa.org/team/5/14900,https://stats.ncaa.org/teams/477990,477990,449783,113525,66579,19614,83551,62681,15949,137675,136958,405095,254525,404412,253853,136290,334220,135575,127187,360123,218265,217601,368044,134917,216945,134266,253203,176320,175669,367390,366740,366093,133619,132984,333586,365466,216322,252579,132360,251957,364850,131746,364238,175064,296939,131144,215719,363635,251367,130562,296360,174491,129990,403842,295791,250799,295223,215158,294667,173942,214610,214057,294119,129445,128902,333046,403303,402767,213521,293577,212977,250257,332510,402231,363107,293075,212481,173446,211975,401717,249742,128389,172934,401213,362604,249238,332009,172437,248741,292578,362111,248253,127903,292097,211504,361652,211052,361215,172013,210638,360807,210248,369291,177473,139294,298563,298204,406450,138952,297871,138623,368962,255795,219432,255492,406147,138322,138025,219146,177196,405881,334891,368710,255241,297622,176968,218938,139716,219783,177846,,,,,,,,,,,,,,,,,,,,,,
477991,14900,8,Alabama,https://stats.ncaa.org/team/8/14900,https://stats.ncaa.org/teams/477991,477991,449784,113526,66580,19615,83552,62682,15950,137678,136961,405098,254528,404415,253856,136293,334223,135578,127190,360126,218268,217604,368047,134920,216948,134269,253206,176323,175672,367393,366743,366096,133622,132987,333589,365469,216325,252582,132363,251960,364853,131749,364241,175067,296942,131147,215722,363638,251370,130565,296363,174494,129993,403845,295794,250802,295226,215161,294670,173945,214613,214060,294122,129448,128905,333049,403306,402770,213524,293580,212980,250260,332513,402234,363110,293078,212484,173449,211978,401720,249745,128392,172937,401216,362607,249241,332012,172440,248744,292581,362114,248256,127906,292100,211507,361655,211055,361217,172015,210640,360809,210250,369293,177475,139296,298565,298206,406451,138954,297873,138625,368964,255797,219434,255494,406149,138324,138027,219148,177198,405882,334892,368711,255242,297623,176969,218939,139717,219784,,,,,,,,,,,,,,,,,,,,,,,
477992,14900,27,Appalachian St.,https://stats.ncaa.org/team/27/14900,https://stats.ncaa.org/teams/477992,477992,449785,113527,66581,19616,83554,62684,16077,137682,136975,405112,254541,404428,253869,136306,334236,135591,127203,360139,218281,217617,368060,134933,216961,134282,253219,176336,175685,367406,366755,366108,133634,132999,333601,365481,216337,252594,132375,251972,364865,131761,364253,175079,296954,131159,215734,363650,251382,130577,296375,174505,130004,403856,295805,250813,295237,215171,294680,173955,214623,214070,294132,129458,128915,333059,403316,402780,213534,293590,212990,250270,332523,402244,363120,293087,212493,173458,211987,401729,249754,128401,172946,401225,362616,249250,332021,172448,248752,292589,362122,248264,127914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477994,14900,29,Arizona,https://stats.ncaa.org/team/29/14900,https://stats.ncaa.org/teams/477994,477994,449787,113529,66583,19618,83556,62686,15953,137684,136977,405114,254543,404430,253871,136308,334238,135593,127205,360141,218283,217619,368062,134935,216963,134284,253221,176338,175687,367408,366757,366110,133636,133001,333603,365483,216339,252596,132377,251974,364867,131763,364255,175081,296956,131161,215736,363652,251384,130579,296377,174507,130006,403858,295807,250815,295239,215173,294682,173957,214625,214072,294134,129460,128917,333061,403318,402782,213536,293592,212992,250272,332525,402246,363122,293089,212495,173460,211989,401731,249756,128403,172948,401227,362618,249252,332023,172450,248754,292591,362124,248266,127916,292109,211516,361664,211064,361226,172024,210649,360817,210258,369301,177483,139304,298573,298214,406459,138962,297880,138632,368971,255804,219441,255501,406156,138331,138034,219155,177205,405889,334899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477993,14900,28,Arizona St.,https://stats.ncaa.org/team/28/14900,https://stats.ncaa.org/teams/477993,477993,449786,113528,66582,19617,83555,62685,15952,137683,136976,405113,254542,404429,253870,136307,334237,135592,127204,360140,218282,217618,368061,134934,216962,134283,253220,176337,175686,367407,366756,366109,133635,133000,333602,365482,216338,252595,132376,251973,364866,131762,364254,175080,296955,131160,215735,363651,251383,130578,296376,174506,130005,403857,295806,250814,295238,215172,294681,173956,214624,214071,294133,129459,128916,333060,403317,402781,213535,293591,212991,250271,332524,402245,363121,293088,212494,173459,211988,401730,249755,128402,172947,401226,362617,249251,332022,172449,248753,292590,362123,248265,127915,292108,211515,361663,211063,361225,172023,210648,360816,210257,369300,177482,139303,298572,298213,406458,138961,297879,138631,368970,255803,219440,255500,406155,138330,138033,219154,177204,405888,334898,368717,255248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477996,14900,31,Arkansas,https://stats.ncaa.org/team/31/14900,https://stats.ncaa.org/teams/477996,477996,449789,113531,66585,19620,83558,62688,15955,137686,136979,405116,254545,404432,253873,136310,334240,135595,127207,360143,218285,217621,368064,134937,216965,134286,253223,176340,175689,367410,366759,366112,133638,133003,333605,365485,216341,252598,132379,251976,364869,131765,364257,175083,296958,131163,215738,363654,251386,130581,296379,174509,130008,403860,295809,250817,295241,215175,294684,173959,214627,214074,294136,129462,128919,333063,403320,402784,213538,293594,212994,250274,332527,402248,363124,293091,212497,173462,211991,401733,249758,128405,172950,401229,362620,249254,332025,172452,248756,292593,362126,248268,127918,292111,211518,361666,211066,361228,172026,210651,360819,210260,369303,177485,139306,298575,298216,406461,138964,297882,138633,368972,255805,219442,255502,406157,138332,138035,219156,177206,405890,334900,368718,255249,297629,176975,218944,,,,,,,,,,,,,,,,,,,,,,,,,
477995,14900,30,Arkansas St.,https://stats.ncaa.org/team/30/14900,https://stats.ncaa.org/teams/477995,477995,449788,113530,66584,19619,83557,62687,15954,137685,136978,405115,254544,404431,253872,136309,334239,135594,127206,360142,218284,217620,368063,134936,216964,134285,253222,176339,175688,367409,366758,366111,133637,133002,333604,365484,216340,252597,132378,251975,364868,131764,364256,175082,296957,131162,215737,363653,251385,130580,296378,174508,130007,403859,295808,250816,295240,215174,294683,173958,214626,214073,294135,129461,128918,333062,403319,402783,213537,293593,212993,250273,332526,402247,363123,293090,212496,173461,211990,401732,249757,128404,172949,401228,362619,249253,332024,172451,248755,292592,362125,248267,127917,292110,211517,361665,211065,361227,172025,210650,360818,210259,369302,177484,139305,298574,298215,406460,138963,297881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478103,14900,725,Army West Point,https://stats.ncaa.org/team/725/14900,https://stats.ncaa.org/teams/478103,478103,449897,113639,66693,19727,83665,62794,16058,137885,137407,405544,254973,404860,254300,136736,334669,136035,127650,360587,218728,218060,368500,135374,217402,134721,253659,176776,176125,367848,367195,366550,134075,133434,334033,365912,216765,253021,132802,252400,365291,132185,364675,175497,297372,131577,216151,364067,251790,130980,296778,174902,130401,404251,296197,251204,295628,215557,295065,174338,215007,214456,294515,129838,129293,333435,403691,403154,213906,293966,213364,250645,332895,402614,363484,293435,212835,173801,212339,402088,250114,128758,173302,401576,362966,249599,332368,172795,249098,292934,362464,248602,128251,292439,211840,361977,211373,361525,172317,210934,361100,210527,369562,177742,139561,298829,298462,406703,139202,298113,138865,369205,256034,219670,255721,406376,138550,138250,219365,177410,406086,335089,368906,255435,297816,177143,219097,139858,219907,177943,256278,,,,,,,,,,,,,,,,,,,,,
477997,14900,37,Auburn,https://stats.ncaa.org/team/37/14900,https://stats.ncaa.org/teams/477997,477997,449790,113532,66586,19621,83559,62689,15956,16591,136982,405119,254548,404435,253876,136313,334243,135598,127210,360146,218288,217624,368067,134940,216968,134289,253226,176343,175692,367413,366762,366115,133641,133005,333607,365487,216343,252600,132381,251978,364871,131767,364259,175085,296960,131165,215740,363656,251388,130583,296381,174511,130010,403862,295811,250819,295243,215177,294686,173961,214629,214076,294138,129464,128921,333065,403322,402786,213540,293596,212996,250276,332529,402250,363126,293093,212498,173463,211992,401735,249760,128407,172952,401231,362622,249256,332027,172454,248758,292595,362128,248270,127920,292113,211520,361668,211068,361230,172028,210653,360821,210261,369304,177486,139307,298576,298217,406462,138965,297883,138634,368973,255806,219443,255503,406158,138333,138036,219157,177207,405891,334901,368719,255250,297630,176976,218945,139721,219787,,,,,,,,,,,,,,,,,,,,,,,
