schoolID,game_sport_year_ctl_id,org_id,schoolName,schoolStatsURL,rdStatsURL,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-100,1998-99,1997-98,1996-97,1995-96,1994-95,1993-94,1992-93,1991-92,1990-91,1989-90,1988-89,1987-88,1986-87,1985-86,1984-85,1983-84,1982-83,1981-82,1980-81,1979-80,1978-79,1977-78,1976-77,1975-76,1974-75,1973-74,1972-73,1971-72,1970-71,1969-70,1968-69,1967-68,1966-67,1965-66,1964-65,1963-64,1962-63,1961-62,1960-61,1959-60,1958-59,1957-58,1956-57,1955-56,1954-55,1953-54,1952-53,1951-52,1950-51,1949-50,1948-49,1947-48,1946-47,1945-46,1944-45,1943-44,1942-43,1941-42,1940-41,1939-40,1938-39,1937-38,1936-37,1935-36,1934-35,1933-34,1932-33,1931-32,1930-31,1929-30,1928-29,1927-28,1926-27,1925-26,1924-25,1923-24,1922-23,1921-22,1920-21,1919-20,1918-19,1917-18,1916-17,1915-16,1914-15,1913-14,1912-13,1911-12,1910-11,1909-10,1908-09,1907-08,1906-07,1905-06,1904-05,1903-04,1902-03,1901-02,1900-01,1899-100,1898-99,1897-98,1896-97,1895-96,1894-95,1893-94,1892-93,1891-92,1890-91,1889-90,1888-89,1887-88,1886-87,1885-86,1884-85,1883-84,1882-83,1881-82,1880-81,1879-80,1878-79,1877-78,1876-77,1875-76,1874-75,1873-74,1872-73,1871-72,1870-71,1869-70
478120,14900,2,Abilene Christian,https://stats.ncaa.org/team/2/14900,https://stats.ncaa.org/teams/478120,478120,449913,113654,66708,19742,83680,62809,15541,16195,136956,405093,254523,404410,253850,136288,334218,135573,127185,360121,218263,217599,368042,134915,216943,134264,253201,176318,175667,367388,366738,366091,133617,132982,333584,365464,216320,252577,132358,251955,364848,131744,364236,175062,296937,131142,215717,363633,251365,130560,296358,174489,129988,403840,295789,250797,295221,215156,294665,173940,214608,214055,294117,129443,128900,333044,403301,402765,213519,293575,212975,250255,332508,402229,363105,293073,212479,173444,211973,401715,249740,128387,172932,401211,362602,249236,332007,172435,248739,292576,362109,248251,127901,292095,211502,361650,211050,361213,172011,210636,360805,210246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478121,14900,6,Alabama A&M,https://stats.ncaa.org/team/6/14900,https://stats.ncaa.org/teams/478121,478121,449914,113655,66709,19743,83681,62810,16073,137676,136959,405096,254526,404413,253854,136291,334221,135576,127188,360124,218266,217602,368045,134918,216946,134267,253204,176321,175670,367391,366741,366094,133620,132985,333587,365467,216323,252580,132361,251958,364851,131747,364239,175065,296940,131145,215720,363636,251368,130563,296361,174492,129991,403843,295792,250800,295224,215159,294668,173943,214611,214058,294120,129446,128903,333047,403304,402768,213522,293578,212978,250258,332511,402232,363108,293076,212482,173447,211976,401718,249743,128390,172935,401214,362605,249239,332010,172438,248742,292579,362112,248254,127904,292098,211505,361653,211053,138953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478122,14900,7,Alabama St.,https://stats.ncaa.org/team/7/14900,https://stats.ncaa.org/teams/478122,478122,449915,113656,66710,19744,83682,62811,16074,137677,136960,405097,254527,404414,253855,136292,334222,135577,127189,360125,218267,217603,368046,134919,216947,134268,253205,176322,175671,367392,366742,366095,133621,132986,333588,365468,216324,252581,132362,251959,364852,131748,364240,175066,296941,131146,215721,363637,251369,130564,296362,174493,129992,403844,295793,250801,295225,215160,294669,173944,214612,214059,294121,129447,128904,333048,403305,402769,213523,293579,212979,250259,332512,402233,363109,293077,212483,173448,211977,401719,249744,128391,172936,401215,362606,249240,332011,172439,248743,292580,362113,248255,127905,292099,211506,361654,211054,361216,172014,210639,360808,210249,369292,177474,139295,298564,298205,297872,138624,368963,255796,219433,255493,406148,138323,138026,219147,177197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478123,14900,14,Albany (NY),https://stats.ncaa.org/team/14/14900,https://stats.ncaa.org/teams/478123,478123,449916,113657,66711,19745,83683,62812,16075,137680,136964,405101,254531,404418,253859,136296,334226,135581,127193,360129,218271,217607,368050,134923,216951,134272,253209,176326,175675,367396,366745,366098,133624,132989,333591,365471,216327,252584,132365,251962,364855,131751,364243,175069,296944,131149,215724,363640,251372,130567,296365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478124,14900,17,Alcorn,https://stats.ncaa.org/team/17/14900,https://stats.ncaa.org/teams/478124,478124,449917,113658,66712,19746,83684,62813,16076,137681,136967,405104,254534,404421,253862,136299,334229,135584,127196,360132,218274,217610,368053,134926,216954,134275,253212,176329,175678,367399,366748,366101,133627,132992,333594,365474,216330,252587,132368,251965,364858,131754,364246,175072,296947,131152,215727,363643,251375,130570,296368,174498,129997,403849,295798,250806,295230,215165,294674,173949,214617,214064,294126,129452,128909,333053,403310,402774,213528,293584,212984,250264,332517,402238,363114,293081,212487,173452,211981,401723,249748,128395,172940,401219,362610,249244,332015,172443,248747,292584,362117,248259,127909,292103,211510,361658,211058,361220,172018,210643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478240,14900,2678,Ark.-Pine Bluff,https://stats.ncaa.org/team/2678/14900,https://stats.ncaa.org/teams/478240,478240,450033,113775,66829,19864,83800,62930,16193,137917,137544,405682,255112,404999,254439,136873,334807,136176,127791,360726,218866,218197,368636,135509,217537,134855,253793,176910,176261,367984,367331,366685,134210,133567,334167,366042,216893,253149,132930,252526,365415,132308,364798,175619,297493,131698,216273,364189,251911,131099,296897,175020,130519,404369,296315,251322,295746,215676,295181,174451,215119,214569,294626,129949,129405,333546,403802,403263,214016,294076,213474,250755,333005,402725,363593,293541,212941,173907,212445,402194,250219,128863,173407,401680,363070,249703,332471,172897,249200,293037,362567,248704,128352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478125,14900,43,Austin Peay,https://stats.ncaa.org/team/43/14900,https://stats.ncaa.org/teams/478125,478125,449918,113659,66713,19747,83685,62814,16078,137687,136987,405124,254553,404440,253881,136318,334248,135603,127215,360151,218293,217629,368072,134945,216973,134294,253231,176348,175697,367418,366767,366120,133646,133010,333612,365491,216347,252604,132385,251982,364875,131771,364263,175089,296964,131169,215744,363660,251392,130587,296385,174515,130014,403866,295815,250823,295247,215181,294690,173965,214633,214080,294142,129468,128925,333069,403326,402790,213544,293600,213000,250280,332533,402254,363130,211996,401739,249764,128411,172956,401235,362626,172458,248762,292599,362132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478127,14900,61,Bethune-Cookman,https://stats.ncaa.org/team/61/14900,https://stats.ncaa.org/teams/478127,478127,449920,113661,66715,19749,83687,62816,16080,137691,137000,405137,254566,404453,253894,136331,334261,135616,127228,360164,218305,217640,368083,134956,216984,134305,253242,176359,175708,367429,366777,366130,133656,133019,333621,365500,216356,252613,132394,251991,364884,131780,364272,175098,296973,131178,215753,363669,251401,130596,296394,174524,130023,403875,295824,250832,295256,215190,294699,173974,214642,214089,294151,129477,128934,333078,403335,402799,213552,293608,213008,250288,332541,402262,363138,293104,212509,173474,212004,401747,249772,128419,172964,401243,362634,249267,332038,172466,248770,292607,362140,248281,127931,292124,211531,361677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478128,14900,80,Brown,https://stats.ncaa.org/team/80/14900,https://stats.ncaa.org/teams/478128,478128,449921,113662,66716,19750,83688,62817,16081,137696,137011,405148,254578,404465,253906,136343,334273,135629,127241,360177,218318,217653,368096,134970,216998,134319,253256,176373,175722,367444,366792,366145,133670,133033,333635,365514,216370,252627,132408,252005,364898,131794,364286,175111,296986,131191,215766,363682,251414,130608,296407,174537,130036,403887,295836,250844,295268,215202,294711,173986,214654,214101,294163,129489,128946,333090,403347,402811,213564,293620,213018,250298,332550,402271,363146,293112,212517,173482,212012,401755,249780,128427,172972,401251,362642,249275,332046,172474,248777,292614,362147,248288,127938,292131,211537,361683,211082,361243,172041,210665,360833,210272,369314,177496,139317,298585,298226,406471,138974,297892,138643,368982,255815,219452,255512,406168,138343,138046,219166,177216,405900,334910,368727,255259,297639,176985,218954,139729,219792,177853,256202,298934,256155,299012,177974,,,,,,,,,,,,,,,,,
478129,14900,81,Bryant,https://stats.ncaa.org/team/81/14900,https://stats.ncaa.org/teams/478129,478129,449922,113663,66717,19751,83689,62818,16082,16207,137012,405149,254579,404466,253907,136344,334274,135630,127242,360178,218319,217654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
